timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731938461287,229,Orders,404,Not Found,Thread Group 1-86,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,228,0,0
1731938461345,172,SignIn,200,OK,Thread Group 1-99,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,172,0,0
1731938461289,228,Orders,404,Not Found,Thread Group 1-59,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,228,0,0
1731938461309,208,Orders,404,Not Found,Thread Group 1-21,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,208,0,0
1731938461295,223,Orders,404,Not Found,Thread Group 1-88,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,222,0,0
1731938461298,221,Orders,404,Not Found,Thread Group 1-9,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,220,0,0
1731938461293,227,Orders,404,Not Found,Thread Group 1-36,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,226,0,0
1731938461341,180,SignIn,200,OK,Thread Group 1-90,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,180,0,0
1731938461346,175,SignIn,200,OK,Thread Group 1-98,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,175,0,0
1731938461348,175,ConfirmOrder,200,OK,Thread Group 1-58,text,true,,274,688,100,100,https://bstackdemo.com/api/checkout,175,0,0
1731938461301,223,Orders,404,Not Found,Thread Group 1-31,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,223,0,0
1731938461302,222,Orders,404,Not Found,Thread Group 1-24,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,222,0,0
1731938461304,220,Orders,404,Not Found,Thread Group 1-13,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,220,0,0
1731938461358,167,SignIn,200,OK,Thread Group 1-96,text,true,,274,712,100,100,https://bstackdemo.com/api/signin,167,0,0
1731938461356,169,ConfirmOrder,200,OK,Thread Group 1-33,text,true,,274,688,100,100,https://bstackdemo.com/api/checkout,169,0,0
1731938461297,228,Orders,404,Not Found,Thread Group 1-37,text,false,,1620,579,100,100,https://bstackdemo.com/api/rders?userName=demouser,228,0,0
1731938461362,181,ConfirmOrder,200,OK,Thread Group 1-63,text,true,,274,688,100,100,https://bstackdemo.com/api/checkout,180,0,0
1731938461367,176,ConfirmOrder,200,OK,Thread Group 1-28,text,true,,274,688,100,100,https://bstackdemo.com/api/checkout,176,0,0
